	DF_1	DF_2	DF_3	DF_4	DF_5	DF_6																																																																																																																																																																																																																																																																																																																																																																											
156	Q28_Part_2	Q29_A_Part_2	Q31_A_Part_2	Q28_7																																																																																																																																																																																																																																																																																																																																																																													
157	Q28_Part_3	Q29_A_Part_3	Q31_A_Part_3	Q28_8																																																																																																																																																																																																																																																																																																																																																																													
158	Q28_Part_4	Q29_A_Part_4	Q31_A_Part_4	Q29																																																																																																																																																																																																																																																																																																																																																																													
159	Q28_Part_5	Q29_A_Part_5	Q31_A_Part_5	Q30																																																																																																																																																																																																																																																																																																																																																																													
160	Q28_Part_6	Q29_A_Part_6	Q31_A_Part_6	Q31_1																																																																																																																																																																																																																																																																																																																																																																													
161	Q28_Part_7	Q29_A_Part_7	Q31_A_Part_7	Q31_2																																																																																																																																																																																																																																																																																																																																																																													
162	Q28_Part_8	Q29_A_Part_8	Q31_A_Part_8	Q31_3																																																																																																																																																																																																																																																																																																																																																																													
163	Q28_Part_9	Q29_A_Part_9	Q31_A_Part_9	Q31_4																																																																																																																																																																																																																																																																																																																																																																													
164	Q28_Part_10	Q29_A_Part_10	Q31_A_OTHER	Q31_5																																																																																																																																																																																																																																																																																																																																																																													
165	Q28_Part_11	Q29_A_Part_11	Q32_A_Part_1	Q31_6																																																																																																																																																																																																																																																																																																																																																																													
166	Q28_Part_12	Q29_A_Part_12	Q32_A_Part_2	Q31_7																																																																																																																																																																																																																																																																																																																																																																													
167	Q28_OTHER_TEXT	Q29_A_Part_13	Q32_A_Part_3	Q31_8																																																																																																																																																																																																																																																																																																																																																																													
168	Q29_Part_1	Q29_A_Part_14	Q32_A_Part_4	Q31_9																																																																																																																																																																																																																																																																																																																																																																													
169	Q29_Part_2	Q29_A_Part_15	Q32_A_Part_5	Q31_10																																																																																																																																																																																																																																																																																																																																																																													
170	Q29_Part_3	Q29_A_Part_16	Q32_A_Part_6	Q31_11																																																																																																																																																																																																																																																																																																																																																																													
171	Q29_Part_4	Q29_A_Part_17	Q32_A_Part_7	Q31_12																																																																																																																																																																																																																																																																																																																																																																													
172	Q29_Part_5	Q29_A_OTHER	Q32_A_Part_8	Q32																																																																																																																																																																																																																																																																																																																																																																													
173	Q29_Part_6	Q30	Q32_A_Part_9	Q33_1																																																																																																																																																																																																																																																																																																																																																																													
174	Q29_Part_7	Q31_A_Part_1	Q32_A_Part_10	Q33_2																																																																																																																																																																																																																																																																																																																																																																													
175	Q29_Part_8	Q31_A_Part_2	Q32_A_Part_11	Q33_3																																																																																																																																																																																																																																																																																																																																																																													
176	Q29_Part_9	Q31_A_Part_3	Q32_A_Part_12	Q33_4																																																																																																																																																																																																																																																																																																																																																																													
177	Q29_Part_10	Q31_A_Part_4	Q32_A_Part_13	Q33_5																																																																																																																																																																																																																																																																																																																																																																													
178	Q29_Part_11	Q31_A_Part_5	Q32_A_Part_14	Q34_1																																																																																																																																																																																																																																																																																																																																																																													
179	Q29_Part_12	Q31_A_Part_6	Q32_A_Part_15	Q34_2																																																																																																																																																																																																																																																																																																																																																																													
180	Q29_OTHER_TEXT	Q31_A_Part_7	Q32_A_Part_16	Q34_3																																																																																																																																																																																																																																																																																																																																																																													
181	Q30_Part_1	Q31_A_Part_8	Q32_A_Part_17	Q34_4																																																																																																																																																																																																																																																																																																																																																																													
182	Q30_Part_2	Q31_A_Part_9	Q32_A_Part_18	Q34_5																																																																																																																																																																																																																																																																																																																																																																													
183	Q30_Part_3	Q31_A_Part_10	Q32_A_Part_19	Q34_6																																																																																																																																																																																																																																																																																																																																																																													
184	Q30_Part_4	Q31_A_Part_11	Q32_A_Part_20	Q34_7																																																																																																																																																																																																																																																																																																																																																																													
185	Q30_Part_5	Q31_A_Part_12	Q32_A_OTHER	Q34_8																																																																																																																																																																																																																																																																																																																																																																													
186	Q30_Part_6	Q31_A_Part_13	Q33	Q35_1																																																																																																																																																																																																																																																																																																																																																																													
187	Q30_Part_7	Q31_A_Part_14	Q34_A_Part_1	Q35_2																																																																																																																																																																																																																																																																																																																																																																													
188	Q30_Part_8	Q31_A_OTHER	Q34_A_Part_2	Q35_3																																																																																																																																																																																																																																																																																																																																																																													
189	Q30_Part_9	Q32	Q34_A_Part_3	Q35_4																																																																																																																																																																																																																																																																																																																																																																													
190	Q30_Part_10	Q33_A_Part_1	Q34_A_Part_4	Q35_5																																																																																																																																																																																																																																																																																																																																																																													
191	Q30_Part_11	Q33_A_Part_2	Q34_A_Part_5	Q35_6																																																																																																																																																																																																																																																																																																																																																																													
192	Q30_Part_12	Q33_A_Part_3	Q34_A_Part_6	Q35_7																																																																																																																																																																																																																																																																																																																																																																													
193	Q30_OTHER_TEXT	Q33_A_Part_4	Q34_A_Part_7	Q35_8																																																																																																																																																																																																																																																																																																																																																																													
194	Q31_Part_1	Q33_A_Part_5	Q34_A_Part_8	Q35_9																																																																																																																																																																																																																																																																																																																																																																													
195	Q31_Part_2	Q33_A_Part_6	Q34_A_Part_9	Q35_10																																																																																																																																																																																																																																																																																																																																																																													
196	Q31_Part_3	Q33_A_Part_7	Q34_A_Part_10	Q35_11																																																																																																																																																																																																																																																																																																																																																																													
197	Q31_Part_4	Q33_A_OTHER	Q34_A_Part_11	Q35_12																																																																																																																																																																																																																																																																																																																																																																													
198	Q31_Part_5	Q34_A_Part_1	Q34_A_Part_12	Q35_13																																																																																																																																																																																																																																																																																																																																																																													
199	Q31_Part_6	Q34_A_Part_2	Q34_A_Part_13	Q35_14																																																																																																																																																																																																																																																																																																																																																																													
200	Q31_Part_7	Q34_A_Part_3	Q34_A_Part_14	Q35_15																																																																																																																																																																																																																																																																																																																																																																													
201	Q31_Part_8	Q34_A_Part_4	Q34_A_Part_15	Q35_16																																																																																																																																																																																																																																																																																																																																																																													
202	Q31_Part_9	Q34_A_Part_5	Q34_A_Part_16	Q36_1																																																																																																																																																																																																																																																																																																																																																																													
203	Q31_Part_10	Q34_A_Part_6	Q34_A_OTHER	Q36_2																																																																																																																																																																																																																																																																																																																																																																													
204	Q31_Part_11	Q34_A_Part_7	Q35	Q36_3																																																																																																																																																																																																																																																																																																																																																																													
205	Q31_Part_12	Q34_A_Part_8	Q36_A_Part_1	Q36_4																																																																																																																																																																																																																																																																																																																																																																													
206	Q31_OTHER_TEXT	Q34_A_Part_9	Q36_A_Part_2	Q36_5																																																																																																																																																																																																																																																																																																																																																																													
207	Q32_Part_1	Q34_A_Part_10	Q36_A_Part_3	Q36_6																																																																																																																																																																																																																																																																																																																																																																													
208	Q32_Part_2	Q34_A_Part_11	Q36_A_Part_4	Q36_7																																																																																																																																																																																																																																																																																																																																																																													
209	Q32_Part_3	Q34_A_OTHER	Q36_A_Part_5	Q36_8																																																																																																																																																																																																																																																																																																																																																																													
210	Q32_Part_4	Q35_A_Part_1	Q36_A_Part_6	Q36_9																																																																																																																																																																																																																																																																																																																																																																													
211	Q32_Part_5	Q35_A_Part_2	Q36_A_Part_7	Q36_10																																																																																																																																																																																																																																																																																																																																																																													
212	Q32_Part_6	Q35_A_Part_3	Q36_A_OTHER	Q36_11																																																																																																																																																																																																																																																																																																																																																																													
213	Q32_Part_7	Q35_A_Part_4	Q37_A_Part_1	Q36_12																																																																																																																																																																																																																																																																																																																																																																													
214	Q32_Part_8	Q35_A_Part_5	Q37_A_Part_2	Q36_13																																																																																																																																																																																																																																																																																																																																																																													
215	Q32_Part_9	Q35_A_Part_6	Q37_A_Part_3	Q36_14																																																																																																																																																																																																																																																																																																																																																																													
216	Q32_Part_10	Q35_A_Part_7	Q37_A_Part_4	Q36_15																																																																																																																																																																																																																																																																																																																																																																													
217	Q32_Part_11	Q35_A_Part_8	Q37_A_Part_5	Q37_1																																																																																																																																																																																																																																																																																																																																																																													
218	Q32_Part_12	Q35_A_Part_9	Q37_A_Part_6	Q37_2																																																																																																																																																																																																																																																																																																																																																																													
219	Q32_OTHER_TEXT	Q35_A_Part_10	Q37_A_Part_7	Q37_3																																																																																																																																																																																																																																																																																																																																																																													
220	Q33_Part_1	Q35_A_OTHER	Q37_A_OTHER	Q37_4																																																																																																																																																																																																																																																																																																																																																																													
221	Q33_Part_2	Q36_Part_1	Q38_A_Part_1	Q37_5																																																																																																																																																																																																																																																																																																																																																																													
222	Q33_Part_3	Q36_Part_2	Q38_A_Part_2	Q37_6																																																																																																																																																																																																																																																																																																																																																																													
223	Q33_Part_4	Q36_Part_3	Q38_A_Part_3	Q37_7																																																																																																																																																																																																																																																																																																																																																																													
224	Q33_Part_5	Q36_Part_4	Q38_A_Part_4	Q37_8																																																																																																																																																																																																																																																																																																																																																																													
225	Q33_Part_6	Q36_Part_5	Q38_A_Part_5	Q37_9																																																																																																																																																																																																																																																																																																																																																																													
226	Q33_Part_7	Q36_Part_6	Q38_A_Part_6	Q37_10																																																																																																																																																																																																																																																																																																																																																																													
