City,Your city,Employment status,Position,Your position,Total years of experience,Years of experience in Germany,Seniority level,Your seniority level,Main technology / programming language,Your main technology,Other technologies/programming languages you use often,Years in the current workplace,What languages do you speak and use at work?,Company size,Annual gross salary without bonus and stocks in EUR,Annual gross salary with bonus and stocks in EUR,Annual gross salary+bonus+stocks one year ago.,Number of vacation days,Hourly rate in EUR,Working hours for the last year,Number of days off in the last year,"Third-party income from small customers or own projects (annualy, in EUR)",Working hours per week,layoff affects you,company_layoffs,Work From Home allowance,Did you already find a new job?,employment_status_change_in_2023,Do you currently search for a job?,How long have you been unemployed? (in months),company_hire_in_2023,company_industry,change_jobs,tc_new_job,change_jobs_voluntary,how_long_find_job,ai_impact,ai_use,ai_tool,ai_other_tools
Munich,,Full/Part-time employee,Data Scientist,,10,10,Senior,,Python,,"SQL,Azure,AWS,Google Cloud,Docker",4.00,"English,German,Russian",1000+,115000,150000,135000,30,,,,,40,No,"Yes, in 2023",No,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,ChatGPT,
Berlin,,Full/Part-time employee,DevOps,,13,7,Senior,,PHP,,"AWS,Terraform,Docker",7.00,"English,German,Russian",101-1000,75000,75000,70000,unlimited,,,,,40,No,"Yes, both in 2022-2023",up to 100 euro,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,No,,
Berlin,,Full/Part-time employee,Mobile Developer,,9,7,Senior,,Swift,,Ruby,5.00,English,101-1000,75600,90000,90000,29,,,,,40,,No,No,,No,,,Yes,Retail and Consumer Services,No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,QA Engineer,,15,10,Senior,,Kotlin,,"Java / Scala,Javascript / Typescript,Kotlin",,English,51-100,78000,78000,86000,30,,,,,40,"Yes, I am satisfied with a severance package","Yes, in 2023",No,,Full/Part-time employee,,,I dont know,Insurance,Yes,worse than it was,"Involuntarily, I was forced to look for a new job","5,0",Moderate but noticeable,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Software Engineer,,7,4,Senior,,Kotlin,,"Terraform,Kubernetes,AWS,SQL",3.00,English,101-1000,115500,135500,105000,28,,,,,40,,"Yes, in 2022",No,,No,,,Yes,Financial Services,No,,,,Moderate but noticeable,Yes,Copilot,
Berlin,,Full/Part-time employee,Head / Principal / VP,,13,8,Other,Director of Engineering,PHP,,"Java / Scala,PHP,Javascript / Typescript, React,AWS,Terraform,Docker",6.00,English,1000+,155000,210000,210000,30,,,,,40,No,"Yes, in 2023",No,,No,,,Yes,Retail and Consumer Services,No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Backend Developer,,15,4,Senior,,Go,,"Ruby,Terraform,Docker,Other,Python",3.00,English,101-1000,88000,88000,85000,unlimited,,,,,40,,No,No,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,DevOps,,15,15,Head / Principal,,Go,,"Python,C / C++,SQL,Go,Rust,AWS,Kubernetes,Terraform,Docker",15.00,"English,Russian",51-100,100000,120000,90000,Unlimited,,,,,40,No,"Yes, in 2023",100 - 500,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,"ChatGPT,Copilot",
Berlin,,Full/Part-time employee,DevOps,,13,3,Lead / Staff,,Bash,,"Terraform,Kubernetes,Docker,Azure,Google Cloud,AWS,Python,Go",1.00,"Russian,English",11-50,105000,5000,,27,,,,,40,"Yes, I am NOT satisfied with a severance package","Yes, both in 2022-2023",over 1000 euros,,Full/Part-time employee,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,"Involuntarily, I was forced to look for a new job","3,0",Moderate but noticeable,Yes,"ChatGPT,Other","Amazon Q, Intellij AI Assist"
Berlin,,Unemployed,Engineering Manager,,20,10,Lead / Staff,,Java,,"Python,Java / Scala,Kotlin,PHP,Javascript / Typescript, React,NodeJS,SQL,Google Cloud,Kubernetes,Terraform,Docker",6.00,English,1000+,,,,,,,,,,"Yes, I am satisfied with a severance package","Yes, both in 2022-2023",100 - 500,,Full/Part-time employee,"Yes, passively ",11,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,"ChatGPT,Copilot,Claude",
Berlin,,Full/Part-time employee,QA Engineer,,13,4,Middle,,Java,,"Kotlin,Kubernetes",4.50,"Russian,English",101-1000,78000,78000,78000,30,,,,,40,"Yes, I am satisfied with a severance package","Yes, both in 2022-2023",No,,No,,,No,"Manufacturing, Transportation, or Supply Chain",Yes,about the same,"Involuntarily, I was forced to look for a new job","0,0",Invisible,No,,
Munich,,Full/Part-time employee,Frontend Developer,,8,6,Senior,,JavaScript / Typescript,,React,2.00,English,51-100,117000,130000,124000,25,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,Yes,"ChatGPT,Copilot",
Berlin,,Full/Part-time employee,Software Engineer,,7,4,Senior,,JavaScript / Typescript,,"Swift,Python,Javascript / Typescript",2.00,"English,Russian",1000+,115000,150000,140000,30,,,,,40,No,"Yes, both in 2022-2023",up to 100 euro,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,"ChatGPT,Other",
Berlin,,Full/Part-time employee,Software Engineer,,18,7,Lead / Staff,,Java,,,5.00,English,1000+,156000,235000,391000,25,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Software Engineer,,10,5,Senior,,C# / .NET,,"Javascript / Typescript,Angular,NodeJS,.NET,SQL,Kubernetes,Docker",3.00,English,1000+,80000,80000,80000,30,,,,,40,No,"Yes, in 2023",No,,No,,,Yes,Retail and Consumer Services,No,,,,Invisible,Yes,Copilot,
Berlin,,Full/Part-time employee,Data Scientist,,7,1,Senior,,Python,,"SQL,Docker,Kubernetes",0.50,English,101-1000,90000,100000,,28,,,,,40,,No,up to 100 euro,,No,,,Yes,Other,Yes,better than it was,"Voluntary, it was my decision","6,0",Moderate but noticeable,Yes,"ChatGPT,Copilot",
Berlin,,Full/Part-time employee,Software Engineer,,15,4,Senior,,PHP,,"Java / Scala,Javascript / Typescript, React,NodeJS,Go,AWS,Docker,Terraform",4.50,English,101-1000,78000,78000,75000,30,,,,,40,No,"Yes, in 2023",No,,No,,,I dont know,"Information Services, IT, Software Development, or other Technology",No,,,,Great,No,,
Berlin,,Full/Part-time employee,Software Engineer,,15,6,Senior,,JavaScript / Typescript,,"Python,NodeJS, React,Angular,Javascript / Typescript,Docker",5.00,English,101-1000,80000,0,0,unlimited,,,,,40,No,"Yes, in 2023",No,,No,,,"Yes, but only for backfilling",Retail and Consumer Services,No,,,,Great,Yes,Copilot,
Berlin,,Full/Part-time employee,Other,Data Analyst,10,3,Junior,,Other,"DWC, Alteryx","Python,SQL",15.00,German,1000+,56000,60000,57000,30,,,,,385,,No,No,,No,,,Yes,Oil & Gas,No,,,,Moderate but noticeable,Yes,ChatGPT,
Berlin,,Full/Part-time employee,DevOps,,5,3,Middle,,Other,AWS,"Python,Kubernetes,Terraform,Docker,AWS",1.00,English,1000+,95000,124000,124000,28,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,No,,
Berlin,,Unemployed,Mobile Developer,,15,8,Lead / Staff,,Kotlin,,"Kotlin, React,Javascript / Typescript,AWS,Terraform,Docker",0.00,"English,German",1000+,,,,,,,,,,"Yes, I am satisfied with a severance package","Yes, both in 2022-2023",up to 100 euro,,Full/Part-time employee,"Yes, actively ",5,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,"Voluntary, it was my decision","8,0",Moderate but noticeable,No,,
Berlin,,Full/Part-time employee,Backend Developer,,6,1,Senior,,Go,,"Javascript / Typescript, React,NodeJS,Go,AWS,Kubernetes,Terraform,Docker",6.00,English,1000+,100000,6000,88000,,,,,,375,,No,100 - 500,,No,,,Yes,Other,No,,,,Great,Yes,Copilot,
Berlin,,Full/Part-time employee,Software Engineer,,13,9,Lead / Staff,,JavaScript / Typescript,,"Ruby,NodeJS, React,SQL",7.00,English,1000+,110000,140000,130000,30,,,,,40,No,"Yes, in 2023",No,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,"Copilot,ChatGPT",
Berlin,,Full/Part-time employee,Tech Lead / Team Lead,,12,6,Lead / Staff,,PHP,,Go,6.00,English,1000+,80000,105000,105000,28,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,Yes,"ChatGPT,Other",amazon codewhisper
Berlin,,Full/Part-time employee,QA Engineer,,17,9,Senior,,C# / .NET,,"Kotlin,Swift",4.00,German,1000+,75000,0,75000,30,,,,,30,No,"Yes, in 2023",100 - 500,,No,,,"Yes, but only for backfilling",Healthcare,No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Software Engineer,,13,8,Senior,,Go,,"Ruby,NodeJS,Docker,Kubernetes",5.00,English,1000+,130000,190000,170000,30,,,,,40,No,"Yes, in 2023",No,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,"Copilot,ChatGPT",
Berlin,,Full/Part-time employee,Data Scientist,,3,2,Middle,,Python,,SQL,2.00,"English,Russian",1000+,72000,72000,65000,25,,,,,40,No,"Yes, in 2023",No,,No,,,Yes,Retail and Consumer Services,No,,,,Moderate but noticeable,Yes,"ChatGPT,Copilot",
Munich,,Full/Part-time employee,Frontend Developer,,15,4,Lead / Staff,,JavaScript / Typescript,,"Javascript / Typescript,Angular, React,NodeJS,Docker",2.00,English,101-1000,165000,165000,,unlimited,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,"ChatGPT,Copilot",
Berlin,,Full/Part-time employee,Software Engineer,,12,7,Lead / Staff,,Kotlin,,,1.00,English,1000+,126000,35000,105000,28,,,,,40,,No,100 - 500,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,C-level (CTO / CEO / ...),,15,10,Head / Principal,,Python,,"Terraform,AWS,Python",10.00,English,11-50,115000,130000,,24,,,,,30,,"Yes, in 2022",100 - 500,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Software Engineer,,3,3,Middle,,Scala,,"Kubernetes,Docker,Java / Scala",0.25,"English,German",51-100,70000,70000,55000,30,,,,,40,,I dont know,No,,No,,,Yes,Financial Services,Yes,better than it was,"Voluntary, it was my decision","1,0",Moderate but noticeable,Yes,"ChatGPT,Copilot",
Munich,,Full/Part-time employee,Backend Developer,,4,1,Middle,,Java,,,1.00,"English,Russian",11-50,72000,81000,70000,28,,,,,40,,I dont know,No,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Invisible,Yes,"ChatGPT,Copilot",
Berlin,,Full/Part-time employee,QA Engineer,,8,4,Senior,,Other,,SQL,1.00,"Russian,English",1000+,75000,84650,56000,30,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,"ChatGPT,Other",
Munich,,Full/Part-time employee,Engineering Manager,,33,5,Lead / Staff,,Swift,,"Javascript / Typescript,Swift,NodeJS,SQL",5.00,"English,German",11-50,85000,89000,89000,30,,,,,40,,No,No,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Other,Essen,Full/Part-time employee,Software Engineer,,7,1,Senior,,Python,,"Javascript / Typescript, React,SQL,AWS,Kubernetes,Terraform,Docker",0.25,"English,German",11-50,70000,70000,60000,30,,,,,40,,No,100 - 500,,Full/Part-time employee,,,Yes,Retail and Consumer Services,Yes,better than it was,"Voluntary, it was my decision","3,0",Moderate but noticeable,Yes,Copilot,
Berlin,,Full/Part-time employee,Tech Lead / Team Lead,,18,5,Lead / Staff,,Python,,"Kotlin,Rust,Swift,Docker,Kubernetes,Google Cloud",3.00,"English,Russian",101-1000,130000,150000,150000,28,,,,,40,No,"Yes, in 2023",No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,"ChatGPT,Copilot",
Berlin,,Full/Part-time employee,Data Scientist,,6,2,Senior,,Python,,"SQL,AWS",2.00,English,1000+,75000,75000,75000,30,,,,,40,No,"Yes, in 2023",No,,No,,,Yes,Retail and Consumer Services,No,,,,Moderate but noticeable,Yes,Other,AWS Whisper
Munich,,Full/Part-time employee,Product Manager,,7,7,Middle,,Other,,"Python,SQL",0.25,"English,German",1000+,95000,108305,90000,33,,,,,40,,I dont know,No,,Full/Part-time employee,,,Yes,Insurance,Yes,better than it was,"Involuntarily, I was forced to look for a new job","2,5",Invisible,No,,
Darmstadt,,Full/Part-time employee,BI Developer / Data Engineer,,8,2,Senior,,SQL,,"Python,Google Cloud,Azure",2.00,"English,German,Russian",11-50,69000,85000,65000,27,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,No,,
Munich,,Full/Part-time employee,Tech Lead / Team Lead,,16,5,Lead / Staff,,Bash,,"Azure,Kubernetes,Terraform,Docker",2.50,"German,English",11-50,84000,88000,86000,30,,,,,40,,No,No,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,Copilot,
Munich,,Full/Part-time employee,C-level (CTO / CEO / ...),,23,11,Lead / Staff,,Python,,"Clojure,SQL,Docker,AWS",3.00,"English,German",11-50,103000,110500,95500,30,,,,,40,"Yes, I am satisfied with a severance package","Yes, both in 2022-2023",No,,No,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,ChatGPT,
Munich,,Full/Part-time employee,Tech Lead / Team Lead,,15,12,Lead / Staff,,C / C++,,"Java / Scala,SQL",9.00,"English,German",101-1000,96000,120000,12000,30,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,"Copilot,ChatGPT",
Munich,,Full/Part-time employee,Frontend Developer,,15,2,Senior,,JavaScript / Typescript,,"NodeJS, React",1.75,English,11-50,82500,88500,75000,24,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,Copilot,
Munich,,Full/Part-time employee,Software / Solutions Architect,,12,7,Senior,,Java,,"Kotlin,Javascript / Typescript,Angular,Python",7.00,English,1000+,102000,102000,95000,30,,,,,38,,"Yes, in 2022",No,,No,,,Yes,Healthcare,No,,,,Invisible,No,,
Munich,,Full/Part-time employee,Mobile Developer,,5,2,Middle,,Swift,,Other,0.50,"English,German,Russian",101-1000,63600,75000,60000,27,,,,,40,,No,No,,Full/Part-time employee,,,Yes,Higher Education,Yes,better than it was,"Involuntarily, I was forced to look for a new job","2,0",Moderate but noticeable,No,,
Munich,,Full/Part-time employee,Backend Developer,,18,2,Senior,,Java,,"SQL,AWS,Docker",0.50,Russian,101-1000,95000,96800,75000,30,,,,,40,,No,No,,Full/Part-time employee,,,Yes,Financial Services,Yes,better than it was,"Voluntary, it was my decision","4,0",Invisible,No,,
Munich,,Full/Part-time employee,Mobile Developer,,8,5,Middle,,Kotlin,,,3.00,"English,German",1000+,80000,85000,75000,30,,,,,40,No,"Yes, in 2023",100 - 500,,No,,,Yes,Other,No,,,,Invisible,No,,
Munich,,Full/Part-time employee,Head / Principal / VP,,15,1,Head / Principal,,Python,,"SQL,Docker",6.00,"English,Russian",1000+,200000,300000,,30,,,,,40,,No,100 - 500,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,"ChatGPT,Copilot",
Munich,,Full/Part-time employee,Software Engineer,,10,5,Lead / Staff,,Rust,,"Python,Google Cloud,Kubernetes,Terraform,Docker,Go",2.00,English,51-100,111000,111000,,28,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,"ChatGPT,Copilot",
Munich,,Full/Part-time employee,Mobile Developer,,5,1,Middle,,Swift,,"Kotlin,Java / Scala",3.50,"Russian,English",101-1000,75000,75000,,25,,,,,40,,I dont know,No,,No,,,I dont know,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,No,,
Munich,,Full/Part-time employee,QA Engineer,,12,2,Lead / Staff,,Python,,"Java / Scala,Python",2.00,"English,Russian",1000+,115000,180000,160000,30,,,,,40,No,"Yes, in 2023",No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,No,,
Augsburg,,Self-employed (freelancer),Head / Principal / VP,,11,11,Head / Principal,,Other,,Other,1.00,German,1000+,,,,,130,2200,10,0,50,,No,No,,No,,,Yes,Retail and Consumer Services,No,,,,Invisible,No,,
Munich,,Full/Part-time employee,Mobile Developer,,8,2,Senior,,Kotlin,,Java / Scala,2.00,"English,German",1000+,84000,84000,84000,30,,,,,40,,I dont know,up to 100 euro,,No,,,"Yes, but only for backfilling","Manufacturing, Transportation, or Supply Chain",No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Software Engineer,,5,1,Middle,,Java,,"Python,Kotlin,SQL,Google Cloud,Kubernetes,Docker",2.00,"Russian,English",1000+,72000,2000,,28,,,,,40,,No,500 - 1000,,No,,,"Yes, but only for backfilling",Financial Services,No,,,,Moderate but noticeable,Yes,ChatGPT,
Munich,,Full/Part-time employee,BI Developer / Data Engineer,,15,1,Lead / Staff,,Python,,"Python,SQL,AWS,Docker,Other,Java / Scala",7.00,"English,Russian",1000+,90000,95000,90000,30,,,,,40,No,"Yes, in 2023",No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,ChatGPT,
Munich,,Full/Part-time employee,Tech Lead / Team Lead,,19,5,Lead / Staff,,JavaScript / Typescript,,"Javascript / Typescript, React,NodeJS,.NET,Kubernetes,AWS,Docker",4.00,"English,German,Russian",1000+,98000,0,0,30,,,,,40,No,"Yes, in 2023",100 - 500,,No,,,Yes,Advertising Services,No,,,,Moderate but noticeable,No,,
Munich,,Full/Part-time employee,Frontend Developer,,10,5,Senior,,JavaScript / Typescript,,"Angular, React,Javascript / Typescript,NodeJS,Other",5.00,English,101-1000,80000,80000,,28,,,,,40,,No,No,,No,,,Yes,Other,Yes,about the same,"Involuntarily, I was forced to look for a new job","6,0",Invisible,No,,
Berlin,,Full/Part-time employee,Software Engineer,,18,9,Senior,,C# / .NET,,".NET,SQL,Angular,Azure,Docker,Other",2.00,English,1000+,78000,81000,73000,30,,,,,40,,No,No,,No,,,Yes,Other,No,,,,Invisible,No,,
Munich,,Full/Part-time employee,Software Engineer,,6,1,Senior,,Kotlin,,"Python,Java / Scala",0.50,English,1000+,75000,85000,,30,,,,,40,,No,500 - 1000,,Full/Part-time employee,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,"Voluntary, it was my decision","4,0",Invisible,No,,
Munich,,Full/Part-time employee,QA Engineer,,13,1,Senior,,Java,,,1.00,English,1000+,65000,70000,70000,28,,,,,40,,No,100 - 500,,No,,,Yes,Advertising Services,No,,,,Moderate but noticeable,No,,
Munich,,Full/Part-time employee,Software Engineer,,20,5,Head / Principal,,JavaScript / Typescript,,"PHP, React,NodeJS,SQL,Go,AWS,Kubernetes,Docker",3.00,"English,German",101-1000,92000,98000,92000,30,,,,,40,,No,No,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Munich,,Full/Part-time employee,Data Scientist,,4,4,Middle,,Python,,SQL,3.50,German,1000+,75000,75000,71000,30,,,,,40,,No,No,,No,,,Yes,Other,No,,,,Moderate but noticeable,Yes,ChatGPT,
Munich,,Full/Part-time employee,Network / Security Engineer / System Administrator,,22,15,Middle,,Other,"Networks, AWS, Azure, Security",,1.00,English,51-100,62000,62000,,30,,,,,40,,I dont know,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,"ChatGPT,Copilot",
Berlin,,Full/Part-time employee,Software / Solutions Architect,,8,8,Senior,,Java,,"Java / Scala,Javascript / Typescript,NodeJS,SQL,Go,Google Cloud,Kubernetes,Terraform,Docker",4.00,"English,German",1000+,68000,75000,72000,28,,,,,40,,No,500 - 1000,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,"ChatGPT,Copilot",
Other,Kempten,Full/Part-time employee,Frontend Developer,,5,1,Middle,,JavaScript / Typescript,,"Angular,Javascript / Typescript",1.00,English,1000+,50000,50000,,30,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,No,,
Munich,,Full/Part-time employee,Frontend Developer,,10,4,Lead / Staff,,JavaScript / Typescript,,"Java / Scala,C / C++, React,Angular,Ruby,NodeJS",4.00,English,1000+,90000,100000,90000,30,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,Yes,Other,No,,,,Moderate but noticeable,Yes,ChatGPT,
Heidelberg,,Self-employed (freelancer),Other,Infrascructure / Solution Architect,20,5,Lead / Staff,,Other,"Azure, Powershell",Azure,1.00,"German,English",1000+,,,,,85,1500,28,,35,No,"Yes, both in 2022-2023",No,,Full/Part-time employee,,,No,"Manufacturing, Transportation, or Supply Chain",Yes,better than it was,"Voluntary, it was my decision","3,0",Moderate but noticeable,Yes,ChatGPT,
Munich,,Full/Part-time employee,DevOps,,15,5,Middle,,Java,,"Python,Azure,Kubernetes,Terraform,Docker",5.00,"English,Russian",101-1000,83000,102000,94300,30,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,Yes,ChatGPT,
Dusseldorf,,Full/Part-time employee,QA Engineer,,4,2,Middle,,JavaScript / Typescript,,,2.00,English,101-1000,58000,59000,49000,30,,,,,40,No,"Yes, both in 2022-2023",100 - 500,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Invisible,Yes,"ChatGPT,Copilot,Other",BingGPT
Munich,,Full/Part-time employee,Software Engineer,,10,9,Senior,,C / C++,,,10.00,English,1000+,120000,230000,250000,31,,,,,40,No,"Yes, in 2023",No,,No,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,Great,No,,
Berlin,,Full/Part-time employee,Tech Lead / Team Lead,,18,8,Lead / Staff,,Java,,"Python,AWS,Kubernetes,Terraform,Docker,SQL",4.00,"English,Russian",101-1000,140000,140000,140000,25,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,ChatGPT,
Munich,,Full/Part-time employee,Software Engineer,,10,4,Senior,,Kotlin,,"Kotlin,Java / Scala,Javascript / Typescript,SQL",4.00,English,1000+,119000,200000,170000,30,,,,,40,No,"Yes, in 2023",No,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,Other,
Berlin,,Full/Part-time employee,Software Engineer,,5,2,Senior,,JavaScript / Typescript,,React,2.00,English,101-1000,87000,87000,80000,27,,,,,40,,No,No,,No,,,"Yes, but only for backfilling",Other,No,,,,Moderate but noticeable,Yes,"Copilot,ChatGPT",
Munich,,Full/Part-time employee,Software Engineer,,15,7,Senior,,C / C++,,"Python,NodeJS",1.00,"English,German,Russian",51-100,100000,105000,105000,30,,,,,40,,No,100 - 500,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,Copilot,
